,mu,sigma,omega
0,1.9355888007990092,0.3764558794755469,0.9999999683533624
1,1.8759750365825791,0.36858536383281254,0.9999999683533624
2,1.9456715009517218,0.48337247379131615,0.9285755145122311
3,1.9401623949711526,0.385213435729452,0.9642857279728934
4,1.9772174283002946,0.45793962823620143,0.9642875390400769
5,1.84382905806205,0.34859233255190836,0.892857132866839
6,1.9238649809687094,0.4728668399943724,0.9999999683533624
7,1.866833629735485,0.4581499666211251,0.9999999683533624
8,1.855081851669881,0.46109899458528225,0.9999999683533624
9,2.0785367905000687,0.3658720989177009,0.9285714510254625
10,2.0447823229644566,0.4878164617537691,0.9642985007672735
11,1.887969918720945,0.44126153316208383,0.964285993174875
12,2.0646332289274465,0.5109080190811568,0.9999999683533624
13,2.034184610059912,0.45151051498726025,0.9999999683533624
14,2.0662301339968843,0.4590375314099415,0.9999999683533624
15,2.092449767031729,0.44431116635980483,0.9642889069534767
16,1.9453150913364117,0.4645959741281506,0.8928588134976962
17,1.9400823579221746,0.4671681353532459,0.8571445740421699
18,1.849056185991939,0.2679229636914455,0.8928571426267257
19,2.0286189404700634,0.4289678395064557,0.9642864243206529
20,2.047820829508321,0.46286008610161505,0.9642904430937526
21,2.04904744140859,0.5182484520404329,0.8928925444497172
22,1.96096792149405,0.3822623363180893,0.9999999683533624
23,1.9584578191036088,0.4262563239069429,0.9285716745522913
24,2.0060764245825413,0.3733080905144887,0.9999999683533624
25,2.0595274019627694,0.4523875255990764,0.9999999683533624
26,2.087940171525769,0.39064344555928393,0.9999999683533624
27,2.0441443560859884,0.41377550466159935,0.9999999683533624
28,1.9751429925487958,0.48721982248390266,0.9642922932373953
29,1.9240837562530237,0.4279965104834717,0.9999999683533624
30,1.8001332100491456,0.35338363096614167,0.9285714285262172
31,1.9208057429708076,0.3760238303924737,0.9642857207603859
32,1.99323097483832,0.38577139262371457,0.8571428797065249
33,2.0117976377255986,0.3342441196671306,0.9642857173817395
34,2.047029121074288,0.4521976711088873,0.9642885945566281
35,1.933314899294627,0.45988122256193054,0.9285726734276601
