,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",-0.6363636363636364,"(-0.9191919191919192, -0.1111111111111111)",Exp1,-0.9191919191919192,-0.1111111111111111
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.3333333333333333,"(-0.7424242424242424, 0.19696969696969696)",Exp1,-0.7424242424242424,0.19696969696969696
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.4722222222222222,"(-0.09259259259259259, 0.8148148148148148)",Exp1,-0.09259259259259259,0.8148148148148148
0,"('WT_SPF', 'ASO_SPF')",-0.8645833333333334,"(-0.9791666666666666, -0.5625)",Exp2,-0.9791666666666666,-0.5625
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.30392156862745096,"(-0.6666666666666666, 0.14705882352941177)",Exp2,-0.6666666666666666,0.14705882352941177
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.44485294117647056,"(-0.007352941176470588, 0.7647058823529411)",Exp2,-0.007352941176470588,0.7647058823529411
