,mu,sigma
0,0.5171192809755912,0.3643234982611053
1,0.5029820251238565,0.2687752819409085
2,0.4741952607206668,0.2613027932525198
3,0.4532363413583691,0.43728471211502057
4,0.46245821968135475,0.2616008116480378
5,0.5969193922521485,0.34296048986971356
6,0.2553025191405028,0.3400372734188277
7,0.6520064848137299,0.4274314130650048
8,0.6247893868503411,0.2818305934754161
9,0.4288855627907653,0.37036124205609655
10,0.24060434006337306,0.4162181089378591
11,0.3902011594047958,0.47534758041539826
12,0.6486226289621139,0.26778518864191875
13,0.4960442053610074,0.356198568635852
14,0.4896917074541059,0.4588491340658556
15,0.4158516834065769,0.3547600522538878
16,0.37405422526208515,0.26775351692349086
17,0.554070923283909,0.34739288716508604
18,0.3735804256920206,0.2913175577165324
19,0.5204184268695426,0.4838678416197925
20,0.685501509123532,0.4399981172291541
21,0.40847593171710017,0.34228678986657074
22,0.420150845036648,0.2791501588007207
23,0.5268997602055102,0.26521305888578073
24,0.37570516266098936,0.46731741758112527
25,0.4774072378692489,0.26861634412452684
26,0.2650958862226182,0.3874910755055595
27,0.46462713800378747,0.2672782392950243
28,0.41970088254801574,0.32648529832316125
29,0.3974189035894526,0.2602814568515183
30,0.3235834444547788,0.3585573529876262
31,0.35625080628405315,0.35639332701250986
32,0.4446897853540654,0.2818617475010271
33,0.497224503109237,0.30703057870770334
34,0.6259617408567942,0.5241663327355858
35,0.4742311039167134,0.2930212494074718
36,0.49558105798255864,0.29693047727761623
37,0.5276809021164182,0.2426415164430668
38,0.42444135174412645,0.2658310984858084
39,0.5745340214062667,0.40399301148320366
40,0.38983273778807465,0.3179004866313507
41,0.35517567108399706,0.28031941737190275
42,0.3571512486603058,0.34146982819969623
43,0.38947695559971673,0.4230025334643452
44,0.46497847429275596,0.24640540449259135
45,0.5787113600039759,0.3202262996062201
46,0.5032819440396713,0.2674800802043658
47,0.47643804426390307,0.32270357995094073
48,0.39680449852723826,0.283862669708501
49,0.4527771162463517,0.4326393824894452
50,0.43071530491807414,0.42421778040996766
51,0.4111695817647317,0.4083465640605662
52,0.3578319008008664,0.2859605937766311
53,0.29199944603874917,0.1823980545183185
54,0.23587925505763818,0.2291184498277563
55,0.646193954533337,0.39535932503232524
56,0.5557271021293074,0.2305681603533216
57,0.47855421943313126,0.3856142205540887
58,0.5593828847591733,0.27552698008057275
59,0.539774368594132,0.4139348993993965
60,0.553427749824332,0.28858841850510225
61,0.4744436133193883,0.3802151979302636
62,0.45884663452190244,0.3848625073860139
63,0.19855557625020676,0.36980576645103147
64,0.42822634246641217,0.36575327161957555
65,0.3119347786287407,0.4010197844268598
66,0.19497416379876317,0.3675214058268497
67,0.5908796165539012,0.2904976984126549
68,0.447148458099325,0.28943192243713706
69,0.3984123098889537,0.4735225810664323
70,0.6405405617285184,0.2597457183679433
71,0.23786713646618163,0.3002404585247454
72,0.4547547814445936,0.27146580460778924
73,0.4690552543988875,0.42002578780713873
74,0.3028699217564051,0.29206460715480886
75,0.5185837964107162,0.242724312764347
76,0.4001552914040531,0.3716643314494991
77,0.4387506802240903,0.2560838837033008
78,0.3653212777221422,0.36289502077924846
79,0.3395194632782532,0.4547117117587622
80,0.513348050807396,0.3468796597651397
81,0.3635105309470157,0.3851891212841147
82,0.4571989990447934,0.273030656211917
83,0.46694647989866356,0.32615246528783776
84,0.41065424408707923,0.3094680218005487
85,0.6090260151647842,0.3603939909872481
86,0.42612391478603945,0.3259350175096943
87,0.3673218951004084,0.30532529798738817
88,0.45361292715763385,0.3192325831361153
89,0.4385539720827413,0.4527834817610006
90,0.558436829040586,0.3250662084957282
91,0.34323049354662694,0.3142783935549328
92,0.31469409601739934,0.21814034042933747
93,0.5294375216103054,0.44624323323826076
94,0.2941238220523918,0.37986737850993857
95,0.39404654044999227,0.26555853147820646
96,0.4144053083555402,0.24566691667144971
97,0.4922347583492711,0.37289238173547246
98,0.4074374088323125,0.22471666143996444
99,0.5180673800123311,0.37733179208275475
100,0.42006077916018947,0.27108285674271004
101,0.41599879269513873,0.4360429221785646
102,0.435549129942709,0.4473604320151575
103,0.5973301717487346,0.43276699928128226
104,0.5550729642317115,0.30127118946086384
105,0.4384974461523371,0.19413633136028974
106,0.44141688469767737,0.24412944244124715
107,0.3891457131474342,0.35617839880959135
108,0.48982811221483885,0.32077496278360834
109,0.44643060076840135,0.26497576737943335
110,0.366301257525704,0.4451263949564884
111,0.4394656824072938,0.28658318652329295
112,0.3299238094722897,0.30285774507886615
113,0.409862192246998,0.3339186396864158
114,0.46464927546003243,0.4316127023124711
115,0.44505403191497,0.38330954399257466
116,0.3888696712165684,0.3319884807920607
117,0.5332043223562768,0.4170484450762148
118,0.31514556743979977,0.22707375217334969
119,0.3682443531676831,0.26915644612819156
120,0.3156291559400779,0.19144880488483873
121,0.5830255883203391,0.3146798271965605
122,0.383708496612117,0.33345604611509305
123,0.3286971741177382,0.3712332016924351
124,0.4393563781673496,0.426386347103273
125,0.33095705158524374,0.36611075519642017
126,0.3551196711583078,0.2551126958667626
127,0.49297187338555654,0.4167446374072744
128,0.41256272346530815,0.36729616788744773
129,0.43837145489888196,0.30142870957684054
130,0.3116315550861226,0.26179970391846824
131,0.4192159373996266,0.3664698869316847
132,0.479290967519943,0.4236811734011917
133,0.5184576120458791,0.3217483144835292
134,0.4049269186074501,0.3002058257946738
135,0.5762576422441746,0.3458880714635403
136,0.36855299778176537,0.3089273746883075
137,0.4657718062855125,0.3785231291161418
138,0.48926840456922294,0.401712951095127
139,0.4172538914662598,0.25029241459886
140,0.48362105129122973,0.3300683199069301
141,0.39918588360195645,0.32053343038226656
142,0.4879515288527081,0.339162590455735
143,0.5886662046460992,0.3728474436664032
144,0.6061111200587884,0.33235173624895353
145,0.3385143702468058,0.294888900642885
146,0.33470313035228233,0.4268717817225649
147,0.37392188854885405,0.2733353133153019
148,0.5260683224594844,0.38065986338393326
149,0.36557382387491927,0.29233662678436517
150,0.5121019744384431,0.31135199745991976
151,0.526958042035504,0.26801576924229864
152,0.4739301303719707,0.21909630652060016
153,0.43058502003772436,0.30044924558337915
154,0.4965715549580806,0.4661920304056405
155,0.5235536376123632,0.31410203910104684
156,0.47240384353934034,0.3627150595134729
157,0.3444509080022429,0.3235200104192498
158,0.46986308951819183,0.31428287575140657
159,0.4990162528225227,0.4193564807096034
160,0.5758638175943949,0.4098820718353946
161,0.5426190078126217,0.192359415895144
162,0.4861027749424025,0.3370454671331316
163,0.3792699852201331,0.29117060647020515
164,0.4508785655538151,0.27348759978538884
165,0.4872413807907626,0.41869029473329594
166,0.48008857742467753,0.27326008566539045
167,0.4294529292451696,0.4220238002534798
168,0.5447572153250876,0.41108566179628747
169,0.5714862127487981,0.346810725986304
170,0.37424768585747464,0.31069557887654253
171,0.35880150629641433,0.41203540988492104
172,0.7209779810121764,0.273385758704436
173,0.41030400666087186,0.27879098299260086
174,0.56119743608968,0.3206352268790564
175,0.24641231533439759,0.41708838000970083
176,0.4069828711742044,0.3044828373977998
177,0.47069847771621576,0.43577545714010196
178,0.42768237246291274,0.39815112046631235
179,0.4359051830576214,0.2751749037611964
180,0.5211117285848614,0.37943587180425015
181,0.5273794658947565,0.3922897697500454
182,0.4279317869728269,0.2924724796503561
183,0.3864789735478306,0.3139768389782986
184,0.48786989115268015,0.3861454359255099
185,0.5501794943766728,0.3180882779335682
186,0.36349329369256367,0.3814169624200576
187,0.5277584189284754,0.29029427572305055
188,0.3194569103091982,0.28590131273798824
189,0.28269611145378526,0.36706075689035506
190,0.5755160296010065,0.2908050896787152
191,0.4804355892475369,0.45242801033695673
192,0.5655736811089297,0.19473973704943048
193,0.4134682310915874,0.40837718529976763
194,0.4907839975387984,0.20244362248215522
195,0.37744286767225893,0.30108262504215744
196,0.44324654678214737,0.36384741603318205
197,0.5272627926631716,0.4291891976772539
198,0.6361435924087081,0.3524835370080463
199,0.36328655206184896,0.3519849565297084
200,0.360872366069106,0.37074420535837954
201,0.6358596000293543,0.2705866611942548
202,0.2508705328852496,0.30758863936673564
203,0.5551184825456456,0.40378707849190376
204,0.46458555729818846,0.360936432003484
205,0.42124115863805595,0.3411167083684758
206,0.5529158904074661,0.3169312757038711
207,0.5001193748084986,0.27233087158293184
208,0.5380225233770429,0.2800168000502076
209,0.298912519980591,0.4162534607420978
210,0.34627172012059376,0.23182536687264374
211,0.4559970354883353,0.3800222110338668
212,0.5757765112877312,0.3117806817502916
213,0.4711704236193818,0.3744047977222389
214,0.4378775593034193,0.27188833469302054
215,0.3884658408551888,0.32685518647016176
216,0.5480826297601479,0.32416854365697634
217,0.45494685686943565,0.41376554713137226
218,0.2888178288729459,0.4018451268499287
219,0.5238433544450256,0.3600939163332865
220,0.4235994307727513,0.27172837455425264
221,0.43220634974367933,0.31157122624042105
222,0.4711344991208272,0.2827843137716129
223,0.43702407989329156,0.31558935844481373
224,0.5049499539517728,0.23632264855843307
225,0.4688771545144769,0.2992613111968722
226,0.40958557386688693,0.34541062313438126
227,0.42750321732644764,0.24786840821681136
228,0.6567414455480141,0.3175017924781812
229,0.5624600656461417,0.3600643059603452
230,0.3638056759727168,0.24711033813447547
231,0.4612060476490789,0.44112994727570176
232,0.5734309899381056,0.32755164982131063
233,0.37767494045086103,0.2877067976844482
234,0.4416770515400379,0.3370759259206585
235,0.45447329488216903,0.33412479790699867
236,0.3649233114295732,0.3071035035723099
237,0.4656801222874681,0.3877693584156589
238,0.5700887573946508,0.36231360883956515
239,0.5539841667505614,0.202034311377943
240,0.554734036421551,0.2705555279770149
241,0.33484475905110245,0.3457403635751026
242,0.32888460312365375,0.35120865508391863
243,0.6198969284235804,0.42349888432741123
244,0.5002411900200878,0.44930897100139877
245,0.557706635528095,0.28760553484792045
246,0.4050481905771768,0.3144125788149301
247,0.46193362462919646,0.2878155014849251
248,0.34047282574605336,0.36325676272512786
249,0.3648865318484659,0.3040041483526873
250,0.3873372630846911,0.32666015761386646
251,0.6380566411699029,0.19060699306461343
252,0.39790813130855185,0.2534691148619962
253,0.5269461922396728,0.36212555882390807
254,0.38346902586865206,0.5150339387879744
255,0.42075268217422634,0.2933549757201302
256,0.40190170614619114,0.31929116767047616
257,0.5116424296870133,0.509399106481459
