,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",0.7373737373737373,"(0.15151515151515152, 0.9595959595959596)",Exp1,0.15151515151515152,0.9595959595959596
1,"('WT_SPF', 'ASO_SPF-Fp')",0.8016528925619835,"(0.30578512396694213, 0.9669421487603306)",Exp1,0.30578512396694213,0.9669421487603306
2,"('ASO_SPF', 'ASO_SPF-Fp')",-0.23232323232323232,"(-0.7575757575757576, 0.41414141414141414)",Exp1,-0.7575757575757576,0.41414141414141414
0,"('WT_SPF', 'ASO_SPF')",0.9583333333333334,"(0.6853261457257298, 1.0)",Exp2,0.6853261457257298,1.0
1,"('WT_SPF', 'ASO_SPF-Fp')",0.6862745098039216,"(0.29411764705882354, 0.9117647058823529)",Exp2,0.29411764705882354,0.9117647058823529
2,"('ASO_SPF', 'ASO_SPF-Fp')",-0.25,"(-0.6176470588235294, 0.16911764705882354)",Exp2,-0.6176470588235294,0.16911764705882354
