,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",-0.0707070707070707,"(-0.5959595959595959, 0.45454545454545453)",Exp1,-0.5959595959595959,0.45454545454545453
1,"('WT_SPF', 'ASO_SPF-Fp')",0.16666666666666666,"(-0.3560606060606061, 0.6060606060606061)",Exp1,-0.3560606060606061,0.6060606060606061
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.2777777777777778,"(-0.26851851851851855, 0.6851851851851852)",Exp1,-0.26851851851851855,0.6851851851851852
0,"('WT_SPF', 'ASO_SPF')",0.2604166666666667,"(-0.203125, 0.625)",Exp2,-0.203125,0.625
1,"('WT_SPF', 'ASO_SPF-Fp')",0.14705882352941177,"(-0.29901960784313725, 0.5294117647058824)",Exp2,-0.29901960784313725,0.5294117647058824
2,"('ASO_SPF', 'ASO_SPF-Fp')",-0.11764705882352941,"(-0.4963235294117647, 0.29044117647058826)",Exp2,-0.4963235294117647,0.29044117647058826
