,mu,sigma
0,2.504469046428215,0.32287485521352083
1,2.570109990205112,0.2023941861077105
2,2.5063737547758214,0.3449859099150273
3,2.42659707097209,0.23012903432633094
4,2.5449465463906527,0.26479370645272615
5,2.624586421676977,0.2698833519753686
6,2.435639560793212,0.2755122149209027
7,2.4465152324978128,0.29616604000708213
8,2.536625400790124,0.18590450714957032
9,2.488173081143064,0.2981811283700904
10,2.5843723272576407,0.2761477093560931
11,2.487417045554139,0.23478406378932007
12,2.467634764658463,0.3010112745019448
13,2.468088548989054,0.2899279891808687
14,2.4695107589512766,0.32801465475022873
15,2.564754497562616,0.18693806582926903
16,2.72853215525764,0.28420348888642255
17,2.49864538558446,0.37184306734080147
18,2.5695550773902323,0.19152514888170538
19,2.4416421394865586,0.2503276821034238
20,2.5228160128970956,0.29413707947529927
21,2.68000127818898,0.2976419342755454
22,2.498688144480645,0.12486215709177297
23,2.421157848005624,0.2664798503366638
24,2.503115539225478,0.347155390027353
25,2.578340116317231,0.23577933499037254
26,2.4343406150007363,0.23310377496321014
27,2.493827347303738,0.2801477369194042
28,2.671877170546015,0.2944036225631216
29,2.5096233696780597,0.304398438808129
30,2.649903064426795,0.2746300809140051
31,2.551925568548859,0.24638801745371525
32,2.5412041267372723,0.3549034177027866
33,2.659691279354342,0.3676106617966825
34,2.524272212104068,0.21638761723194835
35,2.409643191715831,0.37207055234701625
36,2.543298214020744,0.27708663904373393
37,2.542639019702696,0.3614879460253693
38,2.58923132089278,0.3372955412183522
39,2.6290337460891573,0.24012489161840278
40,2.48159821914221,0.2611403775164505
41,2.606683579437495,0.20975546585945876
42,2.5349114209168784,0.3936443172292814
43,2.4502326528591323,0.3636713464338179
44,2.4086902169467406,0.2534424865405107
45,2.3874874175369536,0.3423099078115894
46,2.649082738046849,0.31059836980246414
47,2.653482859881626,0.1279876151005223
48,2.5169709079277114,0.18974386533606794
49,2.3170965205052325,0.24912700817660513
50,2.5737653261769746,0.2870971269024085
51,2.310019594874937,0.25043272955116097
52,2.5108170206066496,0.32703594439480094
53,2.519434981428627,0.2732214985487822
54,2.53134126213973,0.2866348840358889
55,2.587445512609062,0.4363780062192134
56,2.5798078114438057,0.2180040731101935
57,2.4876905723847247,0.32596247360158725
58,2.5955957789088506,0.20999436729101936
59,2.634375109492509,0.21853230985508323
60,2.5006804569507444,0.21795487290188914
61,2.573347837390458,0.17835030521294357
62,2.4329950007498256,0.27243244192106125
63,2.459772724986908,0.3003543150158225
64,2.409633687070431,0.27790677145944054
65,2.4609461531328094,0.29679533408024206
66,2.457994989735224,0.2455961762001845
67,2.6937927888113915,0.2689587509915585
68,2.424232421865881,0.24973229275754616
69,2.576446851077876,0.3125375186364591
70,2.610381569512434,0.2844143041673036
71,2.522160654389789,0.1936977722817865
72,2.4796936747516423,0.2507731561400575
73,2.453286164880559,0.3363165036714434
74,2.56915340050505,0.30767232063654537
75,2.3531559930043735,0.2670223612033628
