,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",0.35353535353535354,"(-0.1919191919191919, 0.7373737373737373)",Exp1,-0.1919191919191919,0.7373737373737373
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.12121212121212122,"(-0.5606060606060606, 0.3484848484848485)",Exp1,-0.5606060606060606,0.3484848484848485
2,"('ASO_SPF', 'ASO_SPF-Fp')",-0.48148148148148145,"(-0.8333333333333334, 0.027777777777777776)",Exp1,-0.8333333333333334,0.027777777777777776
0,"('WT_SPF', 'ASO_SPF')",0.9666666666666667,"(0.8055555555555556, 0.9944444444444445)",Exp2,0.8055555555555556,0.9944444444444445
1,"('WT_SPF', 'ASO_SPF-Fp')",0.25980392156862747,"(-0.18137254901960784, 0.6274509803921569)",Exp2,-0.18137254901960784,0.6274509803921569
2,"('ASO_SPF', 'ASO_SPF-Fp')",-0.9647058823529412,"(-1.0, -0.8627450980392157)",Exp2,-1.0,-0.8627450980392157
