,mu,sigma,omega
0,3.2266678354030747,0.381814032070226,0.26540422403610797
1,3.301018063685045,0.38413087541252183,0.3087875280433265
2,3.3911974460931193,0.4590005919896856,0.5100777299102282
3,4.227614041622211,1.0286627292947064,0.984712543695415
4,3.1461186337239555,0.18259286649330145,0.3913996616070587
5,3.1734062548707676,0.42611543980801436,0.3087928682861284
6,3.2117575524077027,0.45763999997485183,0.6704156524016421
7,3.3115130954156182,0.3635001358972924,0.441268078714113
8,3.1953049142212415,0.6064983316785709,0.5130464028528463
9,3.384025412837658,0.35915414593288075,0.49080883165057404
10,3.209624143682665,0.41084393220348775,0.26547860044699195
11,3.3903141161736117,0.20228720588348253,0.30462494386751193
12,3.1937476969651413,0.2235114397456626,0.3478166646693943
13,3.34416423234811,0.46135279025649906,0.5503366682932599
14,3.478078490594784,0.39035065283115167,0.36825007620521555
15,3.4254059170202575,0.5834717582064856,0.5968123492590672
16,3.385917435673487,0.45929118369066657,0.32506812230966964
17,3.2365931256997316,0.44624558341499976,0.4939446149814531
18,3.1896686785474446,0.5713723598879928,0.368024866304037
19,4.907884260145005,1.2789350081602078,0.9974101334736758
20,3.539166313081642,0.6363580655606088,0.4310308554866598
21,3.2493350288962133,0.41631972024526254,0.3532380735750426
22,3.7185604479221306,0.6757477625042542,0.6113978149779534
23,3.212335647401763,0.33323994373310545,0.5679835866635474
24,3.448744237244602,0.28856897524624187,0.35199598280313416
25,3.45221609567523,0.31556118196278077,0.3999524932205864
26,3.089081355574615,0.49233284267070626,0.4417556771063063
27,3.2869756029966557,0.6676360911657693,0.3919752540463512
28,3.592364952020114,0.28572976389898197,0.31764519591479645
29,3.3569568113712998,0.5236892651827675,0.616321270390584
30,3.308716433970921,0.5838784255781635,0.42964082638500917
31,3.481026937571829,0.5172221357816676,0.44349615527243696
32,3.4791728922438248,0.5605670751505875,0.6529439832260734
33,3.1949295493910665,0.4971314095327903,0.4054571645729
34,3.521896390301245,0.5780142346182287,0.5210155238951153
35,3.304054147942069,0.5276743205395746,0.5592701253463673
36,3.3403622281450587,0.43756143499773886,0.40905526536258197
37,3.2961307173137464,0.20705876333854772,0.3918918028550066
38,3.3016875219562904,0.5904153796163821,0.38159990441871217
39,3.4967968827759623,0.7377904726309682,0.549759804031872
40,3.646353134021732,0.6094949991232439,0.5648913758726551
41,3.648945336030792,0.7229095270448713,0.7733905747845473
42,3.091406685967512,0.43612297580620746,0.4842165952292828
43,3.1003791640007097,0.39220863108816206,0.4360561463893851
