,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",-0.3434343434343434,"(-0.7777777777777778, 0.2222222222222222)",Exp1,-0.7777777777777778,0.2222222222222222
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.1893939393939394,"(-0.6666666666666666, 0.36363636363636365)",Exp1,-0.6666666666666666,0.36363636363636365
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.3611111111111111,"(-0.2222222222222222, 0.7592592592592593)",Exp1,-0.2222222222222222,0.7592592592592593
0,"('WT_SPF', 'ASO_SPF')",-0.8863636363636364,"(-1.0, -0.45454545454545453)",Exp2,-1.0,-0.45454545454545453
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.2192513368983957,"(-0.6203208556149733, 0.24598930481283424)",Exp2,-0.6203208556149733,0.24598930481283424
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.7132352941176471,"(0.34558823529411764, 0.8970588235294118)",Exp2,0.34558823529411764,0.8970588235294118
