,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",-0.898989898989899,"(-0.98989898989899, -0.5757575757575758)",Exp1,-0.98989898989899,-0.5757575757575758
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.7196969696969697,"(-0.9242424242424242, -0.29545454545454547)",Exp1,-0.9242424242424242,-0.29545454545454547
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.48148148148148145,"(-0.07407407407407407, 0.8148148148148148)",Exp1,-0.07407407407407407,0.8148148148148148
0,"('WT_SPF', 'ASO_SPF')",-0.984375,"(-1.0, -0.8958333333333334)",Exp2,-1.0,-0.8958333333333334
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.29411764705882354,"(-0.6078431372549019, 0.0392156862745098)",Exp2,-0.6078431372549019,0.0392156862745098
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.6691176470588235,"(0.25735294117647056, 0.8823529411764706)",Exp2,0.25735294117647056,0.8823529411764706
