,mu,sigma
0,0.5492109907615496,0.5059059807142546
1,0.41294078700791076,0.43435889851074283
2,0.5342912502906354,0.4168757963637071
3,0.4177926634322602,0.35902405330000053
4,0.1974289610209844,0.3981866071395191
5,0.47624462312262944,0.3577866358589876
6,0.5861826920228472,0.35421212426018467
7,0.49243708566419675,0.47309766928981817
8,0.48031514297427225,0.4322268025249639
9,0.3152938325085536,0.5467454723102827
10,0.4963036660313702,0.30480012733179307
11,0.4712864390962407,0.3822290603510314
12,0.5849019981903053,0.463298879549641
13,0.3617856664599823,0.3678722642944329
14,0.44912993818626223,0.4519054373728148
15,0.7355547281645366,0.438738834223733
16,0.45941720345203735,0.37343029109339887
17,0.5737152411995297,0.3705180550699108
18,0.4616699388542848,0.36221890199063905
19,0.5111924012953201,0.4468908977302117
20,0.39675661577807025,0.36048249280606465
21,0.5906403925209623,0.41202869799146163
22,0.5096629474707626,0.38052091444814823
23,0.5492200841968811,0.41827391142555337
24,0.330442860008019,0.39705882727784647
25,0.546184878791884,0.5644229136442556
26,0.5240860053591458,0.38250352968822954
27,0.4287227834586394,0.35101262155746427
28,0.4670170023682433,0.3760429890424702
29,0.42323151970759304,0.5166523202535612
30,0.5588125754019803,0.39714266368400697
31,0.32279443600841123,0.3631242467279199
32,0.4259962392484585,0.5029625101551359
33,0.38616847261434406,0.4648530027547205
34,0.34356189509822743,0.5214260028948878
35,0.5045543284717883,0.4397501007974281
36,0.4679316234079226,0.4483040220597885
37,0.5918753216299997,0.45459585832004307
38,0.5456600860324523,0.33574462192448123
39,0.2999737676766058,0.345698089253886
40,0.3684346241814024,0.5131142583148098
41,0.35066708762767046,0.4229964585299475
42,0.3556536022457241,0.38918722168276515
43,0.536707496727131,0.4448555023220701
44,0.4351233167159835,0.34759107892417074
45,0.6017342686747956,0.4823438197710533
46,0.3699738386085996,0.34537111216605504
47,0.38143935939026635,0.3046490828828244
48,0.5191959784666186,0.37834455995118316
49,0.2560986112728843,0.40481240481290254
50,0.5279806394737235,0.46467766743169614
51,0.5774927009487992,0.37397392421125975
52,0.3521343503147219,0.34908854522217575
53,0.5493099688918924,0.36696476738364997
54,0.46324721731516183,0.3804031254020152
55,0.5371984063721359,0.39085358195788295
56,0.37077166449482585,0.3738970003176222
57,0.4431553400016772,0.525167182827717
58,0.4901783241717172,0.4936735164362388
59,0.590104272859196,0.5012170217540718
60,0.37827180936664967,0.4241775630859146
61,0.5212163822308145,0.40939106000736014
62,0.4765594336452312,0.3409053344457195
63,0.40913379407266054,0.4072192706026586
64,0.5212733714716322,0.31790054866850603
65,0.5524001969874797,0.44992480282576985
66,0.4253890406436493,0.34517975400968487
67,0.5845162257748809,0.47832826350750113
68,0.543141367437774,0.4506663399757827
69,0.5305416236555727,0.38220199609490463
70,0.3563059431651027,0.3788555999284457
71,0.2771683309679852,0.4117426225425776
72,0.2683105170993127,0.36464820731140574
73,0.4781438876415578,0.477680241664076
74,0.4364855598835182,0.3050269216002099
75,0.44894530494685325,0.4804121652700953
76,0.521040787497649,0.3720275045076739
77,0.3784262999070407,0.4201219380118549
78,0.5104388008220582,0.5288099154048768
79,0.4829266888524587,0.47162990506254393
80,0.5001916393900782,0.5175567527525144
81,0.3775154401310488,0.4441667298354451
82,0.45987601849867515,0.4165526381348283
83,0.3769930937370415,0.3378735897151817
84,0.41688886904091615,0.4192976498371427
85,0.4766267194651313,0.45535680388483274
86,0.5271624089653518,0.4259025581106382
87,0.5949665381256063,0.5530604832187428
88,0.4969759616059638,0.40874324857039357
