,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",-0.41414141414141414,"(-0.797979797979798, 0.13131313131313133)",Exp1,-0.797979797979798,0.13131313131313133
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.6818181818181818,"(-0.9090909090909091, -0.22727272727272727)",Exp1,-0.9090909090909091,-0.22727272727272727
2,"('ASO_SPF', 'ASO_SPF-Fp')",-0.3888888888888889,"(-0.7962962962962963, 0.16666666666666666)",Exp1,-0.7962962962962963,0.16666666666666666
0,"('WT_SPF', 'ASO_SPF')",-0.6458333333333334,"(-0.8854166666666666, -0.25)",Exp2,-0.8854166666666666,-0.25
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.6176470588235294,"(-0.8725490196078431, -0.19607843137254902)",Exp2,-0.8725490196078431,-0.19607843137254902
2,"('ASO_SPF', 'ASO_SPF-Fp')",-0.0625,"(-0.45955882352941174, 0.34558823529411764)",Exp2,-0.45955882352941174,0.34558823529411764
