,mu,sigma,omega
0,2.1744747796145063,0.3868478516188515,0.9200003388168115
1,2.122870803910093,0.4035136669672591,0.8800007692557499
2,2.025055373135034,0.5021827977230049,0.9600181385554665
3,2.207471003484657,0.4102067782798533,0.9200019302927477
4,2.088190894523918,0.3795721978229522,0.9600000591191505
5,2.169505262836338,0.4528647923181756,0.9600102431748752
6,2.0115136337894644,0.3861959775551714,0.8799999178993972
7,2.1197158648979086,0.48727396459091615,0.9600243330028569
8,2.170275539820652,0.4198123572086349,0.8000430092216635
9,1.9245540281487985,0.4825766186737365,0.880003119638892
10,2.20970264669429,0.44788244855436843,0.9200118411009447
11,2.195775208636191,0.42717526111562537,0.9600042274572622
12,2.3246599466682687,0.48860502242914716,0.9601403869031577
13,2.0522763863951656,0.45882105584075294,0.7600286715765953
14,2.3246984621373583,0.5042837472256892,0.8801971449618838
15,2.2252645871706123,0.4662568595799758,0.9600293060654187
16,2.167059972637138,0.4642690128391257,0.8400138967212085
17,2.2552668288469895,0.5448881703120989,0.8001172964688655
18,2.291545212136207,0.45106132143718486,0.8800276852598188
19,2.240550253922257,0.43327261563072056,0.8400079175639654
20,2.0525406734237808,0.4788200907947404,0.8000080233298669
21,2.1094416505800733,0.4960622925898679,0.8800278930581946
22,2.1137062959923747,0.23114125891302972,0.8399999948364137
23,2.254802811709765,0.4686837237629787,0.9200399079179703
24,2.2132154678276774,0.4194862472082707,0.880003701230744
25,2.3280920817757536,0.5683025446247173,0.8407554467839052
26,2.1401991941756986,0.44377599225519865,0.7999847109834906
27,2.179455644965962,0.40611963322746925,0.8005269572656273
28,2.1831263791875233,0.44963952983040173,0.8400089561072112
29,2.133263471456414,0.4049228130999458,0.8400005231955261
30,2.3112163205002028,0.4513710382882272,0.8800337285182388
31,2.2272826298765316,0.3879851161014039,0.840000634598373
32,2.3720850255461166,0.38408068457847416,0.8001983740447906
33,2.134541957768002,0.48320356848322954,0.8800220550994847
34,2.334190736135228,0.4322293571800357,0.9200213874885793
35,2.1057326360723048,0.42276512015936873,0.800067491982667
36,2.069189101784634,0.46570495670469975,0.8800060301869269
37,2.031688496473001,0.37981427388101946,0.9999999683533624
38,2.071495601263796,0.40428057481388163,0.9200002741862953
39,2.176524184308847,0.38870589893712004,0.8800008411925567
40,2.2030499102261083,0.3417988896619614,0.9600000137573841
41,2.2043578132810966,0.4390434276269959,0.9600080215433264
42,2.190954138506597,0.46979664274869976,0.8000682447207281
43,2.208518530750011,0.4659835048730812,0.8400217914500782
44,2.141603751331385,0.4134635959055872,0.960001114792316
45,2.11804974837309,0.4448636820360071,0.9200041076407738
46,2.163433231294027,0.49292856232281,0.9600429965558359
47,2.154588445063352,0.5478779360436071,0.8005630824542935
48,2.2032296375013782,0.4143692001794059,0.7605259170434945
49,2.2323834795054003,0.39414887900261464,0.9600011082918087
50,2.217334760830071,0.4324804602238142,0.8000631778027323
51,2.112579434581133,0.4276350009554411,0.8005085254029681
52,2.2860769846853977,0.5974814139620129,0.9211392943098006
53,2.2224373330482097,0.3288055289225141,0.8800004946595092
54,2.218858530426285,0.4071176413740156,0.880002283655842
55,2.1805170392794397,0.38446377249406805,0.9200003152394818
56,2.1955067114891436,0.3849867546849802,0.7606256368317412
57,2.2087303834958876,0.3460300500217894,0.7600153512883968
58,2.054382354379669,0.47216416275074996,0.7600312422003451
59,2.184595650356707,0.37103466028630017,0.880000597943623
60,2.17074665434184,0.48629763676228477,0.8800340860738504
61,2.1816646920193548,0.4943006693444493,0.9200501905386345
62,2.291881523545053,0.3692981205573851,0.9600005058033855
63,2.236093623459861,0.5193834259428919,0.9601663450318036
64,2.1434361209780755,0.4390757572045512,0.9200040943579973
65,2.172444532223836,0.4463519005885545,0.8400069940750061
66,1.9581885370076462,0.4651563039833037,0.9200020290129873
67,2.2925279855010325,0.5165143340394069,0.8003221445745614
68,2.136350994860591,0.43461826607839166,0.9200030693810476
69,2.275486977061962,0.4280282190234196,0.7999864452638089
70,2.0386379859074237,0.571716818685805,0.840135915020572
71,2.270927412192307,0.38425902959104635,0.9999999683533624
72,2.170506507567017,0.38893839219346477,0.9200003668746277
73,2.0521600371625763,0.4341463043129523,0.7600304579421042
74,2.1627585397504845,0.45742544719902534,0.8400101528580411
75,2.2464394753073185,0.44351609859574115,0.7604602267235633
76,2.028562105860813,0.3120128776702889,0.8800000021207304
77,2.2903326702982785,0.5172027843152469,0.9202239696623369
78,2.0448838458050336,0.4914119974300665,0.760237720408492
79,2.366226993389372,0.4538633679378951,0.8800617463398842
80,2.1197436373801803,0.428126454499403,0.8400016812694969
81,2.102558546512855,0.37983922075264226,0.8800001900625629
82,2.3006411618612432,0.302777877148706,0.8399999956951989
83,2.0570348874000026,0.43098278947813207,0.8000009107626612
84,2.149363390719368,0.5468712112148908,0.9601808326063662
85,2.2573939409440715,0.45660251155604425,0.9200264203087063
86,2.219723745693035,0.3849894473463082,0.8000612356459609
87,2.248559097195429,0.5981547076574926,0.8808941335690357
88,2.19302952251418,0.4631268609924649,0.9200185878152217
89,2.220251478260896,0.33715633708206744,0.920000004517051
90,2.091606556524289,0.3153141407862157,0.959999998829921
91,2.252606760208675,0.4069434017499014,0.7999796837683548
92,2.200913407738022,0.4827103735929989,0.9600420649340908
