,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",0.2222222222222222,"(-0.37777777777777777, 0.6888888888888889)",Exp1,-0.37777777777777777,0.6888888888888889
1,"('WT_SPF', 'ASO_SPF-Fp')",0.15,"(-0.4, 0.6)",Exp1,-0.4,0.6
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.037037037037037035,"(-0.5370370370370371, 0.5555555555555556)",Exp1,-0.5370370370370371,0.5555555555555556
0,"('WT_SPF', 'ASO_SPF')",0.8222222222222222,"(0.4, 0.9666666666666667)",Exp2,0.4,0.9666666666666667
1,"('WT_SPF', 'ASO_SPF-Fp')",0.6911764705882353,"(0.27450980392156865, 0.9019607843137255)",Exp2,0.27450980392156865,0.9019607843137255
2,"('ASO_SPF', 'ASO_SPF-Fp')",-0.2901960784313726,"(-0.6392156862745098, 0.13725490196078433)",Exp2,-0.6392156862745098,0.13725490196078433
