,group,pooled_FE,Q,df,p,I2 (%)
0,"('ASO_SPF', 'ASO_SPF-Fp')",0.2584553778527459,0.4265080287187113,1,0.5137073988158509,0.0
1,"('WT_SPF', 'ASO_SPF')",-0.9369621776355372,0.12144320855706423,1,0.7274744543167003,0.0
2,"('WT_SPF', 'ASO_SPF-Fp')",-0.7835300836565233,1.0674223266253917,1,0.30152840782511914,6.316368408607715
