,mu,sigma
0,4.569490330075828,1.0402944988327332
1,4.590574838785372,1.2057797446715262
2,4.263360388339331,0.7558385477146897
3,4.568232487469136,0.5657678727028733
4,4.200035849157355,0.809068891070124
5,4.597920251510867,1.5162951899818957
6,4.5649806087270814,0.794149077834937
7,5.438973359143725,1.6298671422709081
8,5.100796289435509,1.2079030431877174
9,4.140036589139001,1.2875405115602427
10,5.095802162333666,1.6492633961409533
11,4.253655378592018,0.2714039385764226
12,4.272192257649142,0.6525123940383489
13,4.41724847997531,0.5515307465301719
14,4.542707181559282,1.1973618953294218
15,4.676482542050061,1.0063701682075705
16,4.866182901613625,1.2727244099290185
17,4.368776177625694,1.0798105375564764
18,4.329294724036527,0.3578967647494037
19,4.25742406228459,0.9676218313302392
20,6.093290053233385,2.4241289554924594
21,5.001880478115289,1.478122173658828
22,4.284771993390893,0.44948287410682686
23,4.709740565837637,1.5203750719105842
24,6.440904589385994,2.1591401972545996
25,4.100336662024179,0.8177159983189652
26,4.613165570162838,1.2667398405363073
27,5.728114345618614,1.9801334145096927
28,4.403952323349232,0.7897672653498506
29,4.734312864390907,1.0797159767094142
30,4.799126747431008,0.6391988464646294
31,3.796756106622244,1.2028834922269143
32,5.155403795513497,1.6942100385631322
33,4.171821719435825,1.2299365155888202
34,4.460482725941556,0.33832821997522367
35,7.4277072658289525,2.2434816718718107
36,3.840249671588957,0.7643709557460053
37,3.940997368481925,0.8216655274484542
38,5.141455328585007,1.8596055659394652
39,5.359439510140146,1.5372408544667797
40,4.828681351474353,1.876504350631593
41,4.694197178684365,1.26426688558329
42,4.767688740171962,0.8292081939154836
43,5.016482124188123,0.8526065656253389
44,4.330436865176831,0.5344839884576879
45,4.299299323115548,0.5108130428487864
46,5.498559326027408,2.3689433767044092
47,4.402136063745718,1.5874253334989836
48,4.8430772653882315,1.253107659669065
49,4.939290156492038,1.3938319335621094
50,4.828549904892266,1.2563641113069066
51,4.774552262733462,0.8196851509147682
52,4.340444374593284,0.621925932778989
53,4.879651277702412,1.3570711985062136
54,4.623198073377569,1.2486049155300316
55,3.7644754750085356,0.8090028921533375
56,4.645928153224517,1.3850372569023273
57,8.862929321071032,3.211893274176415
58,4.990123214643185,1.464350099070026
59,5.103193294592599,1.639945327069017
60,4.57537887260221,1.1147399060869112
61,4.104208890007583,0.5558671327006159
62,5.466091583731631,2.1201593881554532
63,5.85096202664335,2.021100984075731
64,4.035048970297417,1.0586496683480644
65,4.372443945791105,1.0981433134529597
66,4.572789854908339,1.2920267045485507
67,7.630849370086588,3.1695886963177102
68,4.281547859897486,0.8757150356021627
69,4.299657501591504,0.964398630972463
70,4.990759525601791,1.5249274710095242
71,5.403626537022743,1.5722656340948933
72,5.063074238839941,0.8772972720083771
73,4.175007818706245,0.7688767451046723
74,5.7013843694559565,2.6336610975565162
75,5.8851554351048385,2.169993511560149
76,4.69157835354229,1.4834266598129224
77,5.381033793515259,1.5345300705810139
78,4.913719421771904,1.911901210067624
79,4.23290009281597,1.1614555126700872
80,4.8119742917316675,1.2583494947962122
81,3.8382630122802546,0.9415386902360883
82,4.709682391643065,1.007070314698694
83,4.648386398813729,1.9122912729766435
84,4.66839085576279,0.9128516687885607
85,3.8892030007609577,0.8388996851168853
86,4.347679926780049,0.9616597070083671
87,5.709243420778679,2.0012893439011696
88,4.506049632647813,1.638378802417358
89,4.756463189588025,2.3086730458006186
90,4.4525183489053175,1.1706483474505158
91,3.9087613347084686,0.9969269502744764
92,5.380639052601625,2.119690362767343
93,4.540030697212065,1.6743566853317058
94,4.776576528153041,1.7650343748467665
95,4.904524681118249,1.3931945204711125
96,5.085564945738454,1.2348646580760072
97,4.519839911613137,1.036446835612199
98,4.442746783822806,1.1566515064882463
99,5.449539560506126,2.307901278655459
100,5.124799145366538,1.6656350192582714
101,4.228395071588902,1.1478956460937362
102,4.693310271183257,1.008951459898014
103,4.532989041582008,1.6962479955001986
104,4.900723488830241,1.4044775604792883
105,4.4033735223513455,1.2570360520190536
106,5.3584457983149605,1.5541675633758616
107,5.53357525798752,2.361991349058857
108,3.9325940831256956,0.6778878214740127
109,4.502924515383232,1.3716178343021868
110,4.197734284702824,1.2188108389665973
111,4.466034890306682,1.505660264617154
112,5.188625338257673,2.4986067946149415
113,4.159686385750661,0.943626377980371
114,5.27356963441276,1.9536459990817965
115,5.348563009874169,1.5696175938807908
116,4.197748026258004,0.397791593815806
117,3.990873898393474,0.593905949447669
118,6.3227883340116,2.0015864606500764
119,4.44624558119635,0.6129983106468133
120,4.871213340638996,1.2652511974743563
121,4.363383913240792,1.0025663929925563
122,4.083009700047344,1.0612445502502221
123,4.3580968696853795,0.17751552551971742
124,5.977281501679375,2.229239022249187
125,4.1908891983680405,0.7968071347325357
126,4.579627768197594,1.4316030662946284
127,4.072937321536152,1.116424096138004
128,4.687555060764192,0.7016326700553472
129,4.593154187459568,0.6034940040152672
130,4.390735658214483,1.3028158041795421
131,5.216892678240991,1.3713715140634657
132,4.582533837866405,1.2261554872019162
133,4.155878127031749,0.7382852311033424
134,3.8561241473614127,1.9410237933768466
135,4.397715689666137,1.2832535039845878
136,5.6520235245940995,1.907162891637611
137,4.960015027556686,1.381178584036357
138,6.147354224874644,2.5669113310282032
139,5.390241213833467,1.5010835709780286
140,4.296536984115586,0.7212028762060697
141,4.606487391589762,1.1469075038789698
142,4.1040881165987475,0.6874667548217313
143,4.8416346486019854,1.2906100117006885
144,4.606959794747902,0.8695015203052111
145,4.368851239646088,0.3269277207468266
146,4.006916557796008,0.5039787467203267
147,4.23459511285161,1.2068901082680026
148,4.444778130692736,1.5769449458913463
149,4.265476762759925,0.8195668486751468
150,3.8350884471430886,0.859948264951013
151,4.229421461380625,0.7252292995981416
152,4.329409653649018,1.0844985395120317
153,5.00580308879076,1.5344237353010801
154,4.44855879058472,1.5128340548016033
155,5.235420164760974,1.4222190736131388
156,4.538912495380676,1.1476141905379524
157,4.654806333718299,1.2537286529643883
158,4.652145276423728,0.9506750813287982
159,4.941000558443333,1.338452360696709
160,4.579169305158751,1.2630968932884712
161,3.9409850537440545,0.7892705087226646
162,5.34473565244512,1.5137445328576435
163,4.467044468393542,1.647630008617913
164,4.222635746450446,1.8477161592054492
165,4.3222789119574045,0.9975249686412293
166,4.470445812758328,1.613243732914838
167,3.8505996907642923,0.9302371902891262
168,6.334931489929394,2.6975810636086606
169,4.1362816892440595,1.607019349544266
170,4.887547098207265,1.7870172677841987
171,4.824884881267629,1.7407541770811763
172,4.138051975213167,1.1727676871113386
173,5.090939827903855,2.322538695933685
174,5.223067479457639,1.8292888321537684
175,4.10832748454257,0.5678680619056773
176,4.639516677211625,1.2457650220180632
177,4.0372846240424085,0.45634478664888856
178,4.3613421267478945,1.0952291588444656
179,4.44521544127088,1.289317856330503
180,4.43014883891166,0.5452575792019044
181,4.586043507941834,1.100740100071274
182,5.235414775067435,1.033116390303701
183,3.9711190971013286,1.1842970915900604
184,5.463876636665858,1.6964527296373764
185,4.387464064555073,0.27080072750858725
186,4.581720640783991,1.1013679438658892
187,4.323657840548875,0.21011706058167604
188,4.87500262526246,1.3647812968592925
189,4.288138205630502,1.1183139794624781
190,4.015703027156325,0.6444883935600186
191,4.20850171139466,0.55126212328842
192,3.84640891758895,0.8172161756751136
193,4.307170590412721,1.1650663887053758
194,4.692999464712946,1.4888691919093742
195,4.923407219772765,1.036157194824699
196,4.421626283472389,1.4279249490918189
197,4.112717000699394,0.5977620914429693
198,4.4722157916437055,0.9356456941940343
199,5.502806049733055,1.7602794259810504
200,5.303711087440361,1.466852509386902
201,4.645332993347825,1.400848365175621
202,3.8825694127040236,1.0231484739372059
203,3.7104700973453246,1.1502077591512765
204,5.278996513577027,2.611506645947686
205,4.520862072070859,0.2872457817383718
206,4.8982136184690175,0.9774393973060573
207,4.484653938292558,1.2782434327028027
208,5.067549497414608,1.684526687133872
209,4.146361359195906,0.8370413269016503
210,4.383184156442292,1.1275076144975515
211,4.338991504242939,0.9710288354782085
212,5.527237619319983,1.7231584338515644
213,4.662656365717447,1.4163171061206146
214,5.1460295617561025,1.2608642185062593
215,4.3330467753863,1.1234618814045627
216,4.268902603852759,0.7718921875090523
217,4.0733395861303805,0.8763801394331507
218,4.236926825692464,0.6042776542946509
219,5.303950998444905,1.4640866595467854
220,4.140113745467412,0.8630629912025293
221,5.375245883743264,1.5529189944820998
222,4.8488960149992995,0.9090741933383905
