,mu,sigma,omega
0,2.4496350861574543,0.5617025292613294,0.894382347560156
1,2.267463499474235,0.5619434545456807,0.8933708286043875
2,2.3524651928229985,0.5093792253697654,0.7503053768579111
3,2.239411541881488,0.5309592458449013,0.9287929115498487
4,2.4969881364975266,0.5297199692381421,0.7868096795694922
5,2.3723208067243386,0.43460020031123925,0.8571746765523127
6,2.4003894665791847,0.5542105617502492,0.7151986569848794
7,2.2631413092626818,0.6059665221634686,0.9297387615857305
8,2.468005467861708,0.6524660969595043,0.8985112754791139
9,2.3618596440638067,0.42867712473725483,0.8571656111888307
10,2.2604076713182137,0.6099027801909072,0.8223542172680586
11,2.4001646554911362,0.5041061337388772,0.8932042755650815
12,2.3569184394644425,0.5804650048940863,0.8234153195965285
13,2.5205985193424616,0.5667059131493289,0.8953130853106248
14,2.3524681086531434,0.6479826687946412,0.8247058513779015
15,2.4567223416900337,0.6892049322026753,0.9999999683533624
16,2.4378631430949955,0.5900206434986708,0.8950916555004773
17,2.380825822065123,0.7026661431665575,0.8638748874744953
18,2.5161229681861204,0.6216648684069026,0.7542424560911571
19,2.5534103793259413,0.6088665621806126,0.9338849965770414
20,2.410885316161095,0.6045995388138715,0.931067793735914
21,2.4953024653882614,0.46392644762425106,0.9288348468606653
22,2.416832650643447,0.647912377118349,0.9330597044126582
23,2.3800277459618684,0.38110069996655066,0.8222498568954301
24,2.402915810912127,0.5393441391994388,0.8936221715269729
25,2.3853585095944334,0.5879327603828289,0.8587107747076512
26,2.632947781584271,0.5982063469636121,0.8636103104027515
27,2.6623988639727765,0.6395644186526116,0.832221838415984
28,2.589843933966927,0.5005813939300882,0.8224240206993255
29,2.466602811160319,0.6002759630771973,0.8602740240136763
30,2.5222489730185034,0.7242633924074581,0.8342870297904241
31,2.3388527261211522,0.6047124495660599,0.8586436903307721
32,2.484644179214167,0.5262028889308401,0.8938493720286163
33,2.286099017497618,0.6487404307408418,0.7876343277599543
34,2.4446038127848566,0.5416679449996863,0.8581113543109026
35,2.4415369755124647,0.6348432983015113,0.8968904174946832
36,2.244070420507946,0.5749638924299079,0.9291709449711762
37,2.470667796230535,0.607689740947529,0.9320888789855821
38,2.4888461099240917,0.44244420947916513,0.7861538987957599
39,2.7251143950272563,0.6437934193900786,0.981423926198082
40,2.537937569185887,0.5938664711148572,0.6798902757060484
41,2.535213522558122,0.6180245933325005,0.826904015639917
42,2.42955276915879,0.4780538495979536,0.7860826761054848
43,2.3309296176095797,0.5023601557910811,0.7502350786636811
44,2.5047320153174204,0.5926262810675238,0.8253578335056636
45,2.5259567745588205,0.5977789584278624,0.7533336400787437
46,2.635406116817578,0.4931180289306013,0.8942389324687599
47,2.3917163551564253,0.6248429871096189,0.8957379729780119
48,2.54113317043794,0.7413313003758408,0.8731350068909782
49,2.408467662074768,0.783821144881698,0.8345102692440469
50,2.1228652127656775,0.5509721679327869,0.7856094769543326
51,2.5902515240202657,0.6980906479163359,0.9999999683533624
52,2.261129109894643,0.487106919956011,0.8572146746305098
53,2.3359144026833745,0.595845863089591,0.7514046275877402
54,2.390203172149037,0.5777039952807884,0.9300495650076757
55,2.5013189743382296,0.5824347902589155,0.7165386846799118
56,2.4890856522810307,0.7306427226533031,0.942139173815734
57,2.3358451392895323,0.7180228881344509,0.9712407450464253
58,2.4289771412278194,0.554194042981984,0.7866700940283055
59,2.4536817745215087,0.6545083117460573,0.9342622095343436
60,2.6886314510429963,0.6141084224527034,0.9753345129798299
61,2.4559746608183732,0.7525231886492015,0.7610835209599978
62,2.313533008978795,0.41532983971177173,0.9642944247836205
63,2.5851364328027646,0.3992438411360462,0.9286441415752459
64,2.5406204532614565,0.6434478907927862,0.9359411771985044
65,2.459693738680148,0.7259028273066528,0.9045350573801972
66,2.247672781971593,0.5436788556883825,0.8931617987801909
67,2.481656942571868,0.6544157720088025,0.9349923494246954
68,2.2986464057970006,0.6219561734675325,0.9661635704673683
69,2.443651359976472,0.49188983262710395,0.8932105439388802
70,2.1950659641510515,0.4903654444271615,0.8571888949313485
71,2.3439734281657794,0.7253199299747546,0.86445112607495
72,2.5015363940747317,0.6228804799091717,0.8264070363458651
73,2.2881870283779455,0.7491343007199407,0.8641586357564037
74,2.3810097445316045,0.7433045573654294,0.9024074074028529
75,2.2060110586548234,0.47841301234246647,0.8928925031971363
76,2.563826246697997,0.6048301163606672,0.9698089341552183
77,2.3222782343579467,0.6445751966173707,0.9313531255739167
78,2.34621303144586,0.7300684051562251,0.9003500913062112
79,2.5497673637148703,0.5797481440816933,0.9321680245681795
80,2.3773765730996343,0.5772167880502922,0.9299355032958925
81,2.494828739133383,0.5177760358093803,0.9652543183836768
82,2.380154989391911,0.5734120631998864,0.9298705391591967
83,2.443379798384911,0.5579921540703007,0.8227253601626284
84,2.3425385870000364,0.6517401180252961,0.7883477257668139
85,2.4650521640143377,0.49015739895941685,0.8575232774413224
86,2.501729989862943,0.6383196791395596,0.8625550830191977
87,2.50605707576754,0.6168203105477297,0.7903996586201284
88,2.6709401717546624,0.5679979536067356,0.9342746776756945
