,group,Cliff's delta,Cdelta CI,Exp,CI_lower,CI_higher
0,"('WT_SPF', 'ASO_SPF')",-0.898989898989899,"(-1.0, -0.5151515151515151)",Exp1,-1.0,-0.5151515151515151
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.5371900826446281,"(-1.0, 0.024793388429752067)",Exp1,-1.0,0.024793388429752067
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.3939393939393939,"(-0.25252525252525254, 0.7777777777777778)",Exp1,-0.25252525252525254,0.7777777777777778
0,"('WT_SPF', 'ASO_SPF')",-0.9479166666666666,"(-1.0, -0.7395833333333334)",Exp2,-1.0,-0.7395833333333334
1,"('WT_SPF', 'ASO_SPF-Fp')",-0.8333333333333334,"(-0.9607843137254902, -0.5)",Exp2,-0.9607843137254902,-0.5
2,"('ASO_SPF', 'ASO_SPF-Fp')",0.17647058823529413,"(-0.2536764705882353, 0.5477941176470589)",Exp2,-0.2536764705882353,0.5477941176470589
